sentiment,text
positive,finnish rautaruukki has been awarded a contract to supply and install steel superstructures for the partihallsf+ rbindelsen bridge in gothenburg in sweden
negative,"finnish geosentric s net_sales decreased to eur 939 , 000 in january-march 2009"
positive,"in 2009 , fiskars cash_flow from operating activities amounted to eur 121 m , up from eur 97 m in the previous year"
positive,"based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates"
neutral,the center will be built in the kapuli district of mantsala beside the hanko-mantsala-porvoo road near the new direct rail link between lahti and jarvenpaa
neutral,solteq plc announcement 16.12 .2010 share repurchase 16.12 .2010 in the helsinki stock exchange solteq plc now holds a total of 486.969 shares including the shares repurchased on 16.12 .2010
neutral,the proposal by the board of directors on the issuance of option rights will otherwise correspond to the proposal by the board of directors in the notice to the general meeting
neutral,"the swedish maritime administration has closed the furusund channel , which viking line normally charters en route to stockholm"
neutral,"furthermore , the company will sell the warehouse and office buildings in loudeac and saint marcel and lease new joint premises for these operations in morvillars"
neutral,"sampo housing loan bank , a unit of finland s sampo bank , has priced its eur 1 bn ( usd 1.3 bn ) bond at 99.889 % , reuters reported"
positive,"kone s factory located at ayanambakkam , a suburb to the west of chennai , is a fully integrated facility which gives it the capability to address costs"
neutral,"the biggest sellers in the chain s supermarkets in finland are organic pirkka tomatoes , carrots , eggs , and meat products"
neutral,"one of the opportunities would be to bring all baltic meat processing to rakvere , like processing was concentrated at the vantaa meat-packing unit in finland , the paper wrote"
neutral,"kesko offers hilton to open a hotel on kalinisky prospect in a 18 , 000 -square metres building because of these difficulties"
neutral,"that address also happens to house italian megamart eataly , meaning that come on , kids , we re going to the toy building ! @ neutral the 3 c expo is a signature show in dongguan , which is supported by the dongguan municipal government every year , featuring computer accessories , software , communication and network products"
positive,the pretax profit of the group s life insurance business increased to eur 36 million from eur 27 million
neutral,"originally posted to the pcmag.com security blog , security watch"
positive,"singapore ( icis ) -- ( 1 ) kemira and indian water infrastructure firm ( 2 ) ivrcl have agreed to form a join venture which includes a new inorganic coagulant manufacturing facility in andhra pradesh state , india , the finnish water treatment chemicals maker said on tuesday"
negative,"operating_profit was eur -0.1 mn , down from eur 1.3 mn"
positive,"( a spokesperson told wwd to expect a 50-50 mix of clothing and home decor . ) @ neutral ( adp news ) - nov 28 , 2008 - finnish power-supply solutions provider efore oyj ( omx : efo 1 v ) announced today the launch of opus dc , the latest power system in its opus product line"
neutral,why not subscribe to the magazine ? @ neutral vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services
negative,danish company flsmidth has acknowledged that it has violated a patent held by finnish metso
neutral,"copyright afx news and afx financial news logo are registered trademarks of afx news limited @ neutral cramo , headquartered in vantaa , finland , rents construction machinery and equipment , as well as rents and sells modular space"
negative,"the number of permanent reductions of clerical workers is 22 employees , of which 19 in finland"
neutral,"the most interesting export markets will be russia , the baltic countries and scandinavia"
positive,"the recovery of demand that started toward the end of 2009 , continued in january-march 2010"
neutral,"when the product is manufactured in finland , it is also packed in the country"
positive,"narrows to eur 2.8 m 9 -mo 0929 october 2009 - finnish software and hardware developer elektrobit oyj hel : ebg 1 v , or eb , said today that its net_loss narrowed to eur 2.8 m for the first nine months of 2009 from eur 35.6 m for the same period a year ago"
neutral,jon risfelt is 49 years old holds a master of science in chemical engineering from the swedish royal institute of technology
neutral,"geneva , feb. 10 -- tero aaltonen , finland has developed a radio resource control method"
negative,the net_sales decreased to eur 49.8 million from eur 59.9 million
neutral,"the equipment ixonos acquires with this deal includes mechanical engineering hardware ; an rf and antenna measurement laboratory ; facilities for the measurement of audio , cameras and displays ; as well as devices and robot units for the testing of mobile devices"
